Category,Value,Clue,Answer
ZOOLOGY,1600,"The greater long-nosed species of this is found only in the rain forest & usually has 7 or 8 bands, not 9",armadillo
ZOOLOGY,2000,"This hairy ""ursine"" caterpillar grows into the Isabella tiger moth",the wooly bear
ZOOLOGY,100,In Texas the most common variety of these armored mammals is the nine-banded one,Armadillo
ZOOLOGY,200,"The term for a female rabbit, it can also refer to a female deer",Doe
ZOOLOGY,300,"Of all bears, this one is the best swimmer",Polar Bear
ZOOLOGY,400,A pit viper's pits are highly sensitive to this & help it find its prey in the dark,Heat
ZOOLOGY,500,"Sometimes called the bird spider, it's the largest of all spiders",Tarantula
ZOOLOGY,200,"This slow-moving South American mammal eats, sleeps, mates & gives birth while hanging upside down in a tree",Sloth
ZOOLOGY,400,A zedonk is the hybrid of these 2 animals,Zebra & Donkey
ZOOLOGY,600,"Having tiny eyes & poor vision, these small, flightless New Zealand birds hunt by scent",Kiwi
ZOOLOGY,800,"When this fish first leaves fresh water for the sea, it's called a smolt",Salmon
ZOOLOGY,1000,"Named for a people of Siberia, this pet pooch has been called ""the white dog with the smiling face""",Samoyed
ZOOLOGY,100,"The peach type of this insect attacks peaches, plums & other fruit, but not clothing",Moth
ZOOLOGY,200,The wolf type of this arachnid rides on its mother's back when it's a baby,Spider
ZOOLOGY,300,The nine-banded type of this mammal almost always gives birth to quadruplets of the same sex,Armadillo
ZOOLOGY,400,"These marine animals of the phylum Porifera, which means pore-bearing, have no heads or internal organs",Sponges
ZOOLOGY,500,"The agouti, about the size of a rabbit but related to the guinea pig, belongs to this order of mammals",Rodents
ZOOLOGY,200,"Dolphins & porpoises belong to a suborder called Odontoceti, which means they have these",teeth
ZOOLOGY,400,"During courtship & fast maneuvers, this bird can beat its wings more than 200 times per second",a hummingbird
ZOOLOGY,600,"Not only does it have armor to protect itself, the 3-banded variety of this can also roll into a ball",the armadillo
ZOOLOGY,800,"(<a href=""http://www.j-archive.com/media/2009-04-02_J_18.jpg"" target=""_blank"">Jimmy of the Clue Crew illustrates two fur patterns on the monitor.</a>) It's easy to mistake a jaguar for a leopard, but on closer examination, jaguars often have spots inside <a href=""http://www.j-archive.com/media/2009-04-02_J_18a.jpg"" target=""_blank"">these</a> flowery-named markings; the leopard doesn't",rosettes
ZOOLOGY,1000,"The male of this baboon relative is quite colorful--blue cheeks, a long red nose & a red, blue & violet rump",a mandrill
ZOOLOGY,100,A squirrel uses this fluffy appendage for balance when it leaps & climbs,its tail
ZOOLOGY,200,"Wow! The upside-down type of this ""feline"" fish really does swim upside-down",catfish
ZOOLOGY,300,The basket type of this undersea animal seen here probably isn't the kind you have in your bathtub,sponge
ZOOLOGY,400,Some of these fleshy growths that top roosters' heads are V-shaped & some look like a walnut,combs
ZOOLOGY,500,"This arthropod is nicknamed the ""hundred-legger"", though some may have 170 pairs of legs",centipede
ZOOLOGY,200,"This group of large, hairy spiders gets its name from a wolf spider found around Tarranto, Italy",tarantula
PEOPLE FROM CONNECTICUT,200,This writer was the daughter of liberal clergyman Lyman Beecher,Harriet Beecher Stowe
PEOPLE FROM CONNECTICUT,400,"This showman's first attraction was Joice Heth, a slave presented as George Washington's former nurse",P.T. Barnum
PEOPLE FROM CONNECTICUT,600,"His ""Blue-Backed Speller"", issued in 1783, is still in print in revised form",Noah Webster
PEOPLE FROM CONNECTICUT,800,"In 1901 this Hartford-born financier organized U.S. Steel, the largest corp. in the world",J.P. Morgan
PEOPLE FROM CONNECTICUT,1000,"This ""Sinners In The Hands Of An Angry God"" preacher was valedictorian of his class at Yale",Jonathan Edwards
PEOPLE EAT THAT?,100,"The book ""Fashionable Food"" tells how to make a ""truly awful"" salad with a banana & this cinema snack",popcorn
PEOPLE EAT THAT?,200,Witchetty grubs are large insect larvae savored (& named) by this country's Aborigines,Australia
PEOPLE EAT THAT?,300,"These fleshy growths that top roosters' heads are blanched, dipped in batter & fried for use as a garnish",combs
PEOPLE EAT THAT?,400,"Larousse reports that the moray type of this is served cold, with garlic mayonnaise",eel
PEOPLE EAT THAT?,500,"Secreted by sperm whales & found in perfume, this waxy substance is used as a spice in the East",ambergris
PEOPLE EAT THAT?,100,This snake-like fish can often be found in sushi,Eel
PEOPLE EAT THAT?,200,"The cheeks of this animal can be smoked, as its belly is smoked for bacon",Pig
PEOPLE EAT THAT?,300,"Mold gives this type of colorful cheese, like Roquefort, its flavor",Blue cheese
PEOPLE EAT THAT?,400,"McDonald's introduced this ""grown-up"" hamburger in 1996",Arch Deluxe
PEOPLE EAT THAT?,500,Tripe is the lining of this digestive organ of cattle,Stomach
PEOPLE EAT THAT?,200,We wonder if this variety meat tastes you while you're tasting it,Tongue
PEOPLE EAT THAT?,400,Don't put your PB&J on this -- it's the thymus gland or pancreas of a calf,Sweetbread
PEOPLE EAT THAT?,1500,"This word for beef stomach lining has become a slang term for ""rubbish""",Tripe
PEOPLE EAT THAT?,800,A sausage made out of trotters is made from these parts of a pig or a sheep,Feet
PEOPLE EAT THAT?,1000,"Often sauteed with onions (probably to mask the taste), this brownish large organ has great nutritional value",Liver
PEOPLE WHO BECAME WORDS,200,Don't lose your head trying to name this execution device named after a French doctor,Guillotine
PEOPLE WHO BECAME WORDS,400,Up on the highwire you might wear this bodysuit named for a famous 19th century trapeze artist,Leotard
PEOPLE WHO BECAME WORDS,600,This term for artillery fragments is named for a British officer who invented a new kind of shell,Shrapnel
PEOPLE WHO BECAME WORDS,800,"This food poisoning bacteria is named after the scientist who identified it, not a fish",Salmonella
PEOPLE WHO BECAME WORDS,1000,"She must have been hairy, as this hairstyle is named for the big-haired mistress of a French emperor",Pompadour
PEOPLE WHO BECAME WORDS,200,The name of this cigarette ingredient comes from the ambassador who sent tobacco to Pairs,nicotine
PEOPLE WHO BECAME WORDS,400,"This word for ""actor"" comes from the father of Greek tragedy",thespian
PEOPLE WHO BECAME WORDS,600,This mat used on a plate beneath sandwiches & cakes comes from a drapery shop owner,doily
PEOPLE WHO BECAME WORDS,800,An Austrian novelist's name lives on in this tendency in which a person finds pleasure in receiving abuse,masochism
PEOPLE WHO BECAME WORDS,1000,"This synonym for ""severe"" comes from a harsh Athenian lawmaker",draconian
PEOPLE WHO BECAME WORDS,200,"Named for a Soviet minister, the Finns fixed these ""cocktails"" for the invading Russians in 1940",Molotov cocktails
PEOPLE WHO BECAME WORDS,400,"Not one to let sleeping cars lie, he invented the railroad car named for him",George Pullman
PEOPLE WHO BECAME WORDS,600,"We're not sure if he was one, but John Duns Scotus' name gave us this word, meaning an ignorant person",Dunce
PEOPLE WHO BECAME WORDS,800,"By leaving his cows unbranded, a Texas cattle rancher gave us this term for an independent loner",Maverick
PEOPLE WHO BECAME WORDS,"2,000","A swift fellow, this Austrian's name means the speed of an object as a multiple of the speed of sound",Ernst Mach
PITHY QUOTES,400,"Scrooge's 2-word response to ""A merry Christmas, Uncle!""","""Bah, Humbug"""
PITHY QUOTES,800,"After recanting is belief that the Earth orbits the sun, he's said to have muttered, ""But it does move""",Galileo
PITHY QUOTES,1200,"It's said William Booth sent his troops in this charitable ""Army"" a 1-word telegram: ""Others!""",The Salvation Army
PITHY QUOTES,1200,French title of Zola's 1898 letter to President Faure,J'accuse
PITHY QUOTES,2000,"The King James Bible's shortest verse, ""Jesus wept"", refers to the death of this man",Lazarus
PLAYING PRESIDENT,200,1939: Henry Fonda,"Abraham Lincoln (""Young Mr. Lincoln"")"
PLAYING PRESIDENT,400,2000: Jeff Daniels,"George Washington (in ""The Crossing')"
PLAYING PRESIDENT,600,1995: Nick Nolte,Thomas Jefferson
PLAYING PRESIDENT,800,1974: William Devane,John F. Kennedy
PLAYING PRESIDENT,1000,1997: Anthony Hopkins,John Quincy Adams
PLAYING PRESIDENT,200,"Ralph Bellamy played this polio-stricken president in ""Sunrise At Campobello""",Franklin D. Roosevelt
PLAYING PRESIDENT,400,In this film Gene Hackman is corrupted absolutely as he attacks a woman while Clint Eastwood watches,Absolute Power
PLAYING PRESIDENT,600,"In 1976 David Birney of ""Bridget Loves Bernie"" played the 6th president in the PBS chronicles of this family",Adams
PLAYING PRESIDENT,800,"Uncle Bill on ""Family Affair"", his last role was William McKinley in the 1997 TNT film ""Rough Riders""",Brian Keith
PLAYING PRESIDENT,900,"Joseph Henabery played Abraham Lincoln in this classic film, seen here: (directed by D.W. Griffith in 1915)",The Birth Of A Nation
PLAYING PRESIDENT,200,The 2003 movie with James Brolin as him aired on Showtime after CBS dropped it,Reagan
PLAYING PRESIDENT,400,"Charlton Heston is seen <a href=""http://www.j-archive.com/media/2005-04-18_J_13.wmv"">here</a> as this prickly character before he became president <i>""What did you say?"" ""I said, 'I wonder whose bed Rachael'll be putting her moccasins under next.'"" [Smack!]</i>",Andrew Jackson
PLAYING PRESIDENT,600,"E.G. Marshall, Robert Duvall & Tom Selleck have all played this U.S. president",Eisenhower
PLAYING PRESIDENT,1000,William Parry was James Garfield in the originial production of this Sondheim musical,Assassins
PLAYING PRESIDENT,1000,"Kelsey Grammer played this general in A&E's 2003 ""Benedict Arnold""",Washington
PLAYING PRESIDENT,400,1972: Ken Howard as this Declaration writer,Jefferson
PLAYING PRESIDENT,800,1976: Edward Herrmann as this Depression-era chief of state,FDR
PLAYING PRESIDENT,1200,"2000: Bruce Greenwood in ""Thirteen Days""",JFK
PLAYING PRESIDENT,1600,1979: Robert Duvall as this general,Eisenhower
PLAYING PRESIDENT,2000,"2002: Michael Gambon in HBO's ""The Path to War""",LBJ
PLEASANT 4-LETTER WORDS,400,"""All You Need Is"" this; it ""Makes The World Go 'Round""",love
PLEASANT 4-LETTER WORDS,800,"It precedes ""conduct medal"", ""samaritan"" & ""-for-nothing""",good
PLEASANT 4-LETTER WORDS,1200,"In ""Silent Night"", the holy infant is said to be ""tender and"" this",mild
PLEASANT 4-LETTER WORDS,1600,"An adjective meaning cherished, it's often found in the salutation of a letter",dear
PLEASANT 4-LETTER WORDS,2000,"It means delicate in texture, or consisting of minute particles, like a puree",fine
POISONING,200,She may have tried out different poisons on prisoners before deciding on an asp for herself in 30 B.C.,Cleopatra
POISONING,400,"Sentenced to death by poison for corrupting the youth of Athens, he took the fatal swig in 399 B.C.",Socrates
POISONING,600,"When this randy U.S. president died suddenly in Frisco after a trip to Alaska, rumors swirled his wife had poisoned him",Warren G. Harding
POISONING,800,"Her son, the potential Louis XVII, died in prison amid rumors that he was poisoned",Marie Antoinette
POISONING,1000,"This Mongol conqueror became the leader of his people after his father, Yesugei, was poisoned by Tatars",Genghis Khan
POP ICONS,200,"In 1988 this superstar released his autobiography ""Moonwalk""",Michael Jackson
POP ICONS,400,"Known as the ""Velvet Fog"", he wrote the 1970 account of Judy Garland's life, ""The Other Side Of The Rainbow""",Mel Torme
POP ICONS,"2000","(AUDIO DAILY DOUBLE): This artist was named Canada's Country Female Vocalist Of The Year from 1979 to 1986: ""I'll always remember the songs they were playing...""",Anne Murray (Can I Have This Dance?)
POP ICONS,800,"She co-starred as Aunty Entity in ""Mad Max Beyond Thunderdome""",Tina Turner
POP ICONS,1000,"Her 1987 album ""Canciones de Mi Padre"" went platinum, although it only reached No. 42 on the pop charts",Linda Ronstadt
PROVERBS,100,"""You can't make a silk purse"" out of this",a sow's ear
PROVERBS,200,"""Imitation is the sincerest form of"" it, but beware, it ""corrupts both the receiver and the giver""",flattery
PROVERBS,300,"It's where you should ""never tell tales""",out of school
PROVERBS,400,"The saying ""Strike while the iron is hot"" originally alluded to this profession",blacksmith
PROVERBS,500,"These two things ""wait for no man""",time and tide
PROVERBS,100,"It ""makes a man healthy, wealthy, and wise""","""Early to bed and early to rise"""
PROVERBS,200,"In ""The Wizard of Oz"", Dorothy clicks her heels & repeats this before she's whisked back to Kansas","""There's no place like home"""
PROVERBS,300,"It ""seldom knocks twice"", so make the most of it",Opportunity
PROVERBS,400,"""Better the foot slip than"" this body part",Tongue/lip
PROVERBS,500,"""Manus manum lavat"" is the Latin equivalent of this proverb","""One hand washes the other"""
PROVERBS,100,"It's the 4-letter word that ""makes the world go round""",love
PROVERBS,200,"There's ""no time like"" this",the present
PROVERBS,300,"It's the type of pot that ""never boils""",a watched pot
PROVERBS,400,"It ""comes not alone"" & ""makes waste""",haste
PROVERBS,500,"""Every"" one of these ""fits not every foot""",a shoe
PROVERBS,100,"""All things come to him who"" does this",waits
PROVERBS,200,"This type of ""fruit is sweet"" or ""sweetest""",forbidden
PROVERBS,300,"In ""The Tempest"", Shakespeare wrote, ""Misery acquaints a man with strange"" ones of these",bedfellows
PROVERBS,400,"On this holiday ""all the birds of the air in couples do join""",Valentine's Day
PROVERBS,500,"According to Ovid, ""To be loved"" you have to be this",lovable
PROVERBS,100,"""You can lead"" one of these ""to water, but you can't make him drink""",Horse
PROVERBS,200,"According to Edison, ""There's no substitute for hard"" this",Work
PROVERBS,300,"""There is a black"" one of these animals ""in every flock""",Sheep
PROVERBS,400,"""A shut"" one of these ""catches no flies""",Mouth
PROVERBS,500,"""There's no"" one of these ""like an old"" one",Fool
PROVERBS,100,"Completes the proverb ""Living well is the best...""",Revenge
PROVERBS,200,"These ""that have honey in their mouths have stings in their tails.""",Bees
PROVERBS,300,"""Better the foot slip than"" this",Tongue
PROVERBS,400,"""The mouse that has but one"" of these ""is quickly taken.""",Hole
PROVERBS,500,"Line that pairs with ""See a pin and let it lie, you'll want a pin before you die.""","""See a pin and pick it up, and all the day you shall have good luck."""
PROVERBS,200,"It ""Catches the worm""",The early bird
PROVERBS,400,"There's not only one ""to every rule"", it also ""proves the rule""",Exception
PROVERBS,600,"A variation of this pony proverb says ""You may force a man to shut his eyes, but you can't make him sleep""","""You can lead a horse to water, but you can't make him drink"""
PROVERBS,1000,"George Bernard Shaw was the first to observe that ""He who can does; he who cannot"" does this",Teach
PROVERBS,1000,"The saying ""There is nothing new under the sun"" is a variation of a proverb in this Old Testament book",Ecclesiastes
PROVERBS,100,"This product changed the proverb ""It never rains but it pours"" to ""When it rains it pours""",Morton salt
PROVERBS,200,"""Even a worm will"" do this",Turn
PROVERBS,300,"""Greater love hath no man than this, that a man"" does this ""for his friends""",Lay down his life
PROVERBS,500,"""The difficult is done at once""; this ""takes a little longer""",the impossible
QUEEN VICTORIA,200,"In 1876 Victoria was delighted to receive the title ""Empress of"" this Asian land",India
QUEEN VICTORIA,400,Britain celebrated Victoria's Golden Jubilee in 1887 & recovered in time for this jubilee in 1897,Diamond
QUEEN VICTORIA,600,"Victoria found this poet laureate's ""In Memoriam"" a great comfort in her widowhood",Alfred Lord Tennyson
QUEEN VICTORIA,1000,"As seen in a 1997 film, he was Victoria's beloved servant, but we're not sure how she felt about his ""body""",John Brown
QUEEN VICTORIA,1000,"Queen Victoria was said to be happiest at this ""humble"" Scottish home",Balmoral Castle
RECOGNIZE MY GAME,100,"5-iron, flagstick, electric cart, scorecard",golf
RECOGNIZE MY GAME,200,"Paddles, ball, net, a table",ping-pong/table tennis
RECOGNIZE MY GAME,300,"A mallet, the ball, boots, horses",polo
RECOGNIZE MY GAME,400,"A mallet, balls, wickets, stakes",croquet
RECOGNIZE MY GAME,500,"A service line, an attack line, a net, a ball",volleyball
RHYME TIME,200,An intelligent beginning,a smart start
RHYME TIME,400,A more obese baseball slugger,a fatter batter
RHYME TIME,600,A wealthy sorceress,a rich witch
RHYME TIME,800,Written text of a movie about an underground burial chamber,a crypt script
RHYME TIME,1000,"Voraciously eat an ""all-purpose"" baking ingredient",devour flour
RHYME TIME,100,A public recreation area devoid of light,a dark park
RHYME TIME,200,A cloaklike garment for a gorilla,an ape cape
RHYME TIME,300,An inexpensive Army vehicle,a cheap jeep
RHYME TIME,400,"A quick, casual kiss on the nape",a neck peck
RHYME TIME,500,A silent mob scene,a quiet riot
RHYME TIME,100,To knock down General George S.,Flatten Patton
RHYME TIME,200,A really big southpaw,Hefty lefty
RHYME TIME,300,A humorous Scandinavian dwarf of folklore,Droll troll
RHYME TIME,400,A person who teaches you to imitate an owl,Hooter tutor
RHYME TIME,500,A pumpkin suffering from ennui,Bored gourd
RHYME TIME,200,A really extensive musical ballad,a long song
RHYME TIME,400,A jacket for a nanny or a billy,a goat coat
RHYME TIME,600,A rather hefty Webelo or Tenderfoot,a stout Scout
RHYME TIME,800,A bed covering made from bits & pieces of Scottish skirts,a kilt quilt
RHYME TIME,1000,An engineless aircraft for a brown recluse,a spider glider
RHYME TIME,200,A collision between cars that causes only minor damage,Fender bender
RHYME TIME,400,"Young Florence Griffith, called Dee Dee, grew up, got married & acquired this rhyming nickname","""Flo-Jo"""
RHYME TIME,600,"In a '60s routine George Carlin was Al Sleet, this groovy type of weatherman",Hippy Dippy
RHYME TIME,800,"This term can mean ""haphazardly"" or have its original sense, ""whether you want to or not""",Willy-nilly
RHYME TIME,1000,General who invaded Italy during WWII & commanded U.N. forces in Korea,Mark Clark
RHYME TIME,400,A noisy cumulonimbus,a loud cloud
RHYME TIME,800,A fake foot covering,a mock sock
RHYME TIME,1200,A cruel royal female,a mean queen
RHYME TIME,1600,A small parcel containing a stringed tennis tool,a racket packet
RHYME TIME,2000,A speedy billiards cue,a quick stick
RHYME TIME,200,A fat & sagging striped house cat,a flabby tabby
RHYME TIME,400,What's that putrid odor coming from Paris & Nice?,a French stench
RHYME TIME,600,A minuscule spirit in a magic lamp,a teeny genie
RHYME TIME,800,A nearer food merchant,a closer grocer
RHYME TIME,1000,Fine powdery remains from a piece of oxidized metal,rust dust
RHYME TIME,200,"TIGI has a line of hair products called this, to give you that tousled, just woken up look",Bed Head
RHYME TIME,400,"Glow with nostalgia & name this brand <a href=""http://www.j-archive.com/media/2005-11-22_J_13.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-11-22_J_13.ajpg"" target=""_blank"">here</a>",Lite-Brite
RHYME TIME,600,"This candy, taffy with a peanut butter center, comes in a yellow & black checkered wrapper",Abba-Zabba
RHYME TIME,800,"This kids' show features the colorful character seen <a href=""http://www.j-archive.com/media/2005-11-22_J_29.jpg"" target=""_blank"">here</a>",Blue's Clues
RHYME TIME,1000,Allen Ginsberg is said to have coined this phrase for the peaceful goals of the '60s counterculture,flower power
RHYME TIME,200,A shack for your almond,nut hut
RHYME TIME,400,A hopeful desire for an aquatic creature,fish wish
RHYME TIME,600,Not fast frozen precipitation,slow snow
RHYME TIME,800,A map of your blood-pumping organ,heart chart
RHYME TIME,100,"Holiday celebrating the first of the fifth month, or an S.O.S.",May Day
RHYME TIME,200,To disdain an eared vegetable,Scorn corn
RHYME TIME,300,It's where Pele stores his ball,Soccer locker
RHYME TIME,400,A perch platter,Fish dish
RHYME TIME,500,It's the second of 3 violins in a row,Middle fiddle
RHYME TIME,100,"2,000 pounds",one ton
RHYME TIME,200,A hit below the belt,a low blow
RHYME TIME,300,A class that teaches you all about equines,a horse course
RHYME TIME,400,The type of tome penned by Paul Prudhomme,a cookbook
RHYME TIME,500,She played the beauty in a classic 1933 film about a beast,Fay Wray
RHYME TIME,100,Mother Goose character who sat on a wall & had a great fall,Humpty Dumpty
RHYME TIME,200,"Knock, Knock Who's there? Boo!","Boo, Who?"
RHYME TIME,300,1940's style with tight cuffed trousers. wide lapels & heavily padded shoulders,Zoot Suit
RHYME TIME,400,Mischievous imp that might wreck the machinery in a Moscow landmark,Kremlin Gremlin
RHYME TIME,500,A minor traffic accident,Fender Bender
RHYME TIME,200,Any pigment on the wall so faded you can barely see it,faint paint
RHYME TIME,400,A manly tortilla chip smothered with melted cheese,a macho nacho
RHYME TIME,600,The way to the tub,the bath path
RHYME TIME,800,Accept the loan of someone else's pain & sadness,borrow sorrow
RHYME TIME,1600,Mitral valve or ventricle,a heart part
RHYME TIME,400,An odd-looking Vandyke or goatee,a weird beard
RHYME TIME,800,A 3-legged stand on which to rest your portable media player from Apple,an iPod tripod
RHYME TIME,1200,Trout amandine or tilapia parmesan,a fish dish
RHYME TIME,1600,A fresh & flippant gal from Scotland,a sassy lassie
RHYME TIME,2000,The jargon of a wild dog of Australia,dingo lingo
RHYME TIME,200,A flabby tabby,Fat cat
RHYME TIME,400,An iguana who's skilled at sorcery,Lizard wizard
RHYME TIME,600,Seat you sit on in a Parisian park,French bench
RHYME TIME,800,"A puzzle such as ""Why did the violin cross the road?""",Fiddle riddle
RHYME TIME,1000,The thighbone of a Madagascar mammal,Lemur femur
RHYME TIME,200,1.99 for a box of Uncle Ben's,rice price
RHYME TIME,400,A chilly swimming basin,cool pool
RHYME TIME,600,"A large, noisy group of people",loud crowd
ROMAN NUMERAL LETTERS,400,"In geometry, a straight line passing through the center of a circle is signified by this letter",D
ROMAN NUMERAL LETTERS,800,An olympic dash on your program will have the number 100 followed by this letter,M
ROMAN NUMERAL LETTERS,1200,The lofty railroad in Chicago sometimes goes by this letter,L
ROMAN NUMERAL LETTERS,1600,One of these on a telescope refers to a power of magnification,X
ROUND IT OFF,400,Pi,3
ROUND IT OFF,800,A marathon (in miles),26
ROUND IT OFF,1200,Tropic of Cancer (in degrees north latitude),23
ROUND IT OFF,1600,The circumference of the Earth (in thousands of miles this time),"25,000"
ROUND IT OFF,2000,Absolute zero (in Celsius),-273
SCHWARZENEGGER,400,"The logical choice was to cast this comic actor as Arnold's brother in ""Twins""",(Danny) DeVito
SCHWARZENEGGER,800,"The few lines that Arnold mouthed in ""Conan the Barbarian"" were written by John Milius & this ""Wall Street"" director",Oliver Stone
SCHWARZENEGGER,1200,"Arnold used the last name ""Strong"" when portraying this demigod ""in New York""",Hercules
SCHWARZENEGGER,1600,"In ""The Running Man"", Arnold feuded with this British game show host",Richard Dawson
SCHWARZENEGGER,2000,"Arnold reteamed with this innovative director for 1994's ""True Lies""",James Cameron
SCHWARZENEGGER,200,Arnold played this sword-wielding barbarian in 2 1980s films,Conan
SCHWARZENEGGER,400,Wife Jamie Lee Curtis thought hubby Arnold was a computer salesman instead of a superspy in this 1994 thriller,True Lies
SCHWARZENEGGER,1000,"In 1993 Arnold was Jack Slater, the title idol of the boy seen in <a href=""http://www.j-archive.com/media/1997-11-04_DJ_11.wmv"">this</a> film:",Last Action Hero
SCHWARZENEGGER,800,The title of this 1977 bodybuilding documentary has become synonymous with working out with weights,Pumping Iron
SCHWARZENEGGER,1000,"For ""Batman & Robin"", Arnold spent over 2 1/2 hours a day in makeup to play this cool villain",Mr. Freeze (Dr. Victor Fries)
SCI FI IDENTIFY,100,"1985: ""You've got a real attitude problem, McFly, you're a slacker""",Back To The Future
SCI FI IDENTIFY,200,"1977: ""The force is strong with this one""",Star Wars
SCI FI IDENTIFY,400,"1996: ""Welcome to Earth!""",Independence Day
SCI FI IDENTIFY,500,"1951: ""Klaatu Barada Nikto""",The Day The Earth Stood Still
SCI FIDELITY,200,"""War is Peace"" & ""Freedom is Slavery"" in this 1949 work","""1984"""
SCI FIDELITY,400,Future citizens fight invading bugs in this 1959 Heinlein work,"""Starship Troopers"""
SCI FIDELITY,600,Arrakis is the all-important planet of spice in this Frank Herbert series,"""Dune"""
SCI FIDELITY,800,"This writer & religion founder's ""Mission: Earth"" series covered 10 volumes",L. Ron Hubbard
SCI FIDELITY,1000,"She won 5 Hugo Awards with works like ""The Lathe of Heaven"" & ""The Dispossessed""",Ursula K. Le Guin
SCI FIDELITY,200,"Kirk & crew feel the wrath of this title character in the second ""Star Trek"" movie",Khan
SCI FIDELITY,400,Join the club! Pod people start replacing everyone around Kevin McCarthy in this scary big screener from Don Siegel,Invasion of the Body Snatchers
SCI FIDELITY,600,"Set at the icy North Pole, this 1951 sci fi classic tells the story of a crashed UFO & a creature ""From Another World""",The Thing From Another World
SCI FIDELITY,800,"After nuclear mutation, giant ants terrorize Los Angeles in this 1954 classic",Them!
SCI FIDELITY,1000,This dystopian tale of a robotlike future society is an expanded version of a short film George Lucas made at USC,THX 1138
SCI-FI MOVIES BY CHARACTER,200,"1999: Agent Smith, Morpheus, Cypher",The Matrix
SCI-FI MOVIES BY CHARACTER,400,"1968: Taylor, Cornelius, Dr. Zaius",Planet of the Apes
SCI-FI MOVIES BY CHARACTER,600,"1984: Kyle Reese, Sarah Connor, Dr. Peter Silberman",The Terminator
SCI-FI MOVIES BY CHARACTER,800,"1968: Astronauts Frank Poole, Heywood Floyd & Dave Bowman",2001: A Space Odyssey
SCI-FI MOVIES BY CHARACTER,1000,"1951: Professor Jacob Barnhardt, Gort, Klaatu",The Day the Earth Stood Still
STAR TREK,400,"In the original TV series, he played Captain Kirk",William Shatner
STAR TREK,800,"In the 2009 movie, he played Captain Kirk",Chris Pine
STAR TREK,1200,"This actor is the only member of the original cast who appeared in the 2009 film, where he encounters his younger self",Leonard Nimoy
